gene_id	mutant_1	mutant_2	mutant_3	mutant_4	mutant_5	normal_1	normal_2	normal_3	normal_4	normal_5
GENE_0514	164	73	70	227	57	107	69	214	95	146
GENE_0515	83	43	45	69	25	62	31	38	51	55
GENE_0516	66	27	57	68	42	61	18	51	51	51
GENE_0517	48	29	40	62	23	61	36	53	63	27
GENE_0518	288	122	159	257	105	174	129	272	238	145
GENE_0519	387	151	224	471	284	352	215	257	238	271
GENE_0520	240	170	269	375	208	270	160	307	312	376
GENE_0521	90	54	71	130	95	61	52	101	87	75
GENE_0522	170	73	135	122	80	97	74	138	130	137
GENE_0523	56	30	56	51	38	45	29	70	38	55
GENE_0524	20	10	19	30	11	17	13	15	14	21
GENE_0525	225	191	165	239	164	205	141	220	136	269
GENE_0526	315	221	262	197	188	197	135	319	274	263
GENE_0527	21	9	14	28	26	15	6	22	17	26
GENE_0528	139	59	66	93	63	55	48	108	96	75
GENE_0529	23	16	18	24	30	14	5	15	20	23
GENE_0530	44	47	58	84	35	45	24	55	45	79
GENE_0531	180	127	164	294	177	160	106	196	219	226
GENE_0532	379	200	248	363	283	256	160	460	369	186
GENE_0533	536	307	493	726	453	466	348	529	561	605
GENE_0534	15	22	9	25	12	12	12	19	16	11
GENE_0535	62	30	52	81	68	41	14	75	67	35
GENE_0536	255	157	299	227	149	162	107	242	161	229
GENE_0537	52	30	34	59	38	51	19	44	50	51
GENE_0538	515	210	185	349	213	277	186	388	386	221
GENE_0539	326	217	335	458	212	284	164	171	270	341
GENE_0540	35	27	20	73	21	29	13	25	43	32
GENE_0541	83	53	66	89	43	29	25	30	28	22
GENE_0542	63	41	44	71	51	72	28	34	52	61
GENE_0543	39	25	19	34	24	26	18	23	39	29
GENE_0544	34	29	24	44	20	34	14	29	43	22
GENE_0545	670	479	328	696	433	516	373	562	824	582
GENE_0546	349	193	274	283	262	249	264	520	364	275
GENE_0547	133	74	74	173	92	121	63	159	151	102
GENE_0548	237	176	176	232	218	146	158	216	188	233
GENE_0549	260	206	378	593	219	238	133	427	407	278
GENE_0550	54	44	52	119	38	39	27	60	31	48
GENE_0551	108	50	69	92	126	81	54	99	91	72
GENE_0552	18	13	16	17	16	20	7	19	23	17
GENE_0553	74	57	56	86	69	92	51	90	95	77
GENE_0554	31	34	35	41	19	39	21	42	42	28
GENE_0555	87	42	84	126	52	75	56	87	68	96
GENE_0556	23	11	24	33	12	13	4	28	17	8
GENE_0557	269	138	143	271	201	189	98	243	148	193
GENE_0558	81	84	91	116	42	90	44	84	116	75
GENE_0559	250	169	151	404	295	185	169	259	219	178
GENE_0560	292	203	299	452	261	238	159	458	389	240
GENE_0561	50	50	45	94	47	37	21	44	33	50
GENE_0562	79	50	68	100	55	89	50	78	121	64
GENE_0563	266	105	139	259	209	182	148	318	211	250
GENE_0564	383	243	176	586	380	281	283	284	356	205
GENE_0565	45	13	16	30	21	13	3	23	26	31
GENE_0566	445	190	242	277	458	423	178	274	365	175
GENE_0567	33	19	21	45	31	69	80	94	107	73
GENE_0568	134	43	84	119	62	80	59	98	88	58
GENE_0569	143	60	57	106	89	80	40	63	89	77
GENE_0570	25	14	24	74	26	25	18	36	36	22
GENE_0571	236	185	166	188	175	200	97	263	211	189
GENE_0572	153	64	88	167	89	57	37	72	47	63
GENE_0573	33	29	28	50	39	34	18	35	42	28
GENE_0574	96	76	78	100	102	130	66	206	121	87
GENE_0575	149	103	93	150	72	103	51	138	183	103
GENE_0576	553	292	470	1010	490	405	306	837	586	495
GENE_0577	52	33	39	97	27	38	23	60	41	39
GENE_0578	43	19	45	50	31	98	75	168	93	137
GENE_0579	56	36	41	95	52	53	18	46	55	48
GENE_0580	368	253	268	474	284	236	213	317	347	271
GENE_0581	608	441	455	780	441	512	255	597	832	506
GENE_0582	74	27	60	94	42	46	26	60	38	64
GENE_0583	98	74	132	143	96	121	115	173	147	165
GENE_0584	289	133	203	300	172	223	81	252	256	218
GENE_0585	89	57	77	158	65	53	42	90	108	64
GENE_0586	135	100	118	148	72	71	34	88	93	92
GENE_0587	935	299	418	872	632	466	269	434	623	372
GENE_0588	266	217	127	232	146	159	132	268	196	247
GENE_0589	11	6	17	35	14	20	6	26	18	21
GENE_0590	343	268	385	552	242	326	131	491	635	296
GENE_0591	113	68	114	113	93	92	75	202	120	136
GENE_0592	222	108	174	328	226	298	89	269	230	219
GENE_0593	365	218	232	343	230	385	149	338	319	332
GENE_0594	567	300	514	987	589	415	247	569	415	551
GENE_0595	226	145	191	310	234	162	226	171	174	164
GENE_0596	19	20	30	34	26	39	15	30	34	51
GENE_0597	186	154	167	326	243	268	135	208	207	199
GENE_0598	417	202	219	361	313	292	235	339	319	307
GENE_0599	117	123	81	197	102	137	85	118	130	120
GENE_0600	14	28	11	18	16	52	22	65	49	27
GENE_0601	458	186	356	678	357	345	129	371	403	348
GENE_0602	298	114	165	272	157	430	358	524	488	403
GENE_0603	160	74	78	168	121	102	74	104	160	111
GENE_0604	147	87	130	215	116	100	99	193	166	98
GENE_0605	54	17	24	30	17	18	13	22	37	36
GENE_0606	10	12	24	28	11	15	18	27	28	19
GENE_0607	81	77	61	101	58	71	62	99	98	75
GENE_0608	24	17	13	22	28	22	16	21	29	19
GENE_0609	32	21	33	51	25	22	20	41	36	21
GENE_0610	236	103	218	314	243	141	110	261	242	224
GENE_0611	15	14	17	40	19	14	17	32	19	27
GENE_0612	239	88	88	205	138	115	72	177	97	131
GENE_0613	566	317	346	531	622	205	151	354	247	295
GENE_0614	29	29	27	51	17	20	22	31	28	27
GENE_0615	580	277	557	679	456	709	392	507	623	526
GENE_0616	26	20	29	57	48	20	16	28	35	27
GENE_0617	59	27	42	93	42	45	27	72	83	54
GENE_0618	83	77	46	88	81	88	52	120	70	76
GENE_0619	589	351	348	762	440	546	345	610	813	496
GENE_0620	157	58	103	148	87	153	81	171	124	136
GENE_0621	89	89	50	165	77	47	37	94	104	67
GENE_0622	262	132	189	386	301	157	83	103	163	145
GENE_0623	101	48	91	174	92	77	53	120	79	108
GENE_0624	91	45	65	108	95	68	38	133	35	103
GENE_0625	140	71	105	190	115	81	85	154	85	85
GENE_0626	661	254	300	835	650	442	261	388	377	619
GENE_0627	387	367	337	578	370	340	279	455	671	501
GENE_0628	35	16	16	18	14	20	8	21	34	40
GENE_0629	24	18	23	26	25	34	20	51	23	35
GENE_0630	334	256	268	455	276	279	122	384	439	356
GENE_0631	44	33	34	130	35	49	31	77	60	61
GENE_0632	34	28	23	30	19	25	20	31	30	28
GENE_0633	23	16	14	30	9	14	15	24	26	26
GENE_0634	22	27	34	40	27	27	16	43	30	35
GENE_0635	24	18	19	30	41	34	17	35	31	32
GENE_0636	55	44	51	85	76	38	22	37	44	28
GENE_0637	505	144	229	338	339	241	198	415	304	367
GENE_0638	434	283	506	535	414	362	256	528	491	528
GENE_0639	354	219	279	435	261	246	123	311	541	361
GENE_0640	322	131	221	233	162	133	127	194	184	155
GENE_0641	8	15	16	29	7	19	9	30	27	23
GENE_0642	78	64	70	73	115	83	43	81	109	98
GENE_0643	397	331	294	370	227	382	195	270	307	236
GENE_0644	38	16	26	45	19	42	12	25	26	33
GENE_0645	96	66	64	155	67	56	34	78	83	87
GENE_0646	50	51	43	42	57	46	36	43	60	39
GENE_0647	155	61	60	150	110	67	86	131	139	84
GENE_0648	272	326	302	369	305	321	135	319	366	395
GENE_0649	399	157	306	454	281	368	185	358	459	224
GENE_0650	599	371	509	808	311	363	342	521	551	569
GENE_0651	74	47	46	79	56	43	33	27	54	54
GENE_0652	28	23	26	20	11	25	12	19	33	26
GENE_0653	29	10	25	36	14	17	20	17	32	13
GENE_0654	23	8	8	40	22	23	10	14	30	15
GENE_0655	69	40	84	61	80	104	65	123	91	86
GENE_0656	59	50	52	78	53	53	23	155	113	71
GENE_0657	106	61	106	173	106	93	57	152	127	179
GENE_0658	641	354	383	604	491	518	263	476	471	522
GENE_0659	89	76	62	93	54	87	32	66	66	72
GENE_0660	87	70	55	95	107	104	46	105	119	70
GENE_0661	189	161	152	199	160	173	100	259	140	217
GENE_0662	380	240	266	420	207	349	174	365	309	237
GENE_0663	50	53	55	106	42	37	22	43	64	42
GENE_0664	105	89	74	124	64	54	47	79	74	59
GENE_0665	32	27	34	31	22	24	16	43	48	37
GENE_0666	33	18	13	17	16	16	19	27	11	14
GENE_0667	331	230	315	525	265	149	190	296	257	212
GENE_0668	1046	660	823	1309	1200	394	250	471	289	665
GENE_0669	21	15	18	47	18	26	7	22	24	10
GENE_0670	38	34	25	24	19	38	12	30	47	19
GENE_0671	24	23	16	67	29	32	18	29	36	33
GENE_0672	274	197	222	394	243	243	203	328	259	343
GENE_0673	430	116	199	438	236	298	187	273	390	279
GENE_0674	192	113	186	245	169	232	126	197	206	219
GENE_0675	121	67	119	179	118	132	78	122	136	110
GENE_0676	32	17	22	22	17	17	20	27	29	29
GENE_0677	504	237	316	873	463	451	324	525	497	431
GENE_0678	163	144	226	254	104	245	129	347	287	313
GENE_0679	17	19	20	30	15	19	7	29	20	22
GENE_0680	132	114	114	227	72	144	62	129	161	101
GENE_0681	89	47	72	100	52	106	52	77	86	100
GENE_0682	42	31	31	56	41	20	25	36	26	32
GENE_0683	396	158	171	280	191	215	139	297	261	174
GENE_0684	25	19	18	25	23	16	11	19	27	24
GENE_0685	81	10	52	31	32	79	88	126	153	107
GENE_0686	193	126	186	244	156	372	241	315	529	404
GENE_0687	30	18	19	38	36	21	8	41	29	21
GENE_0688	82	36	43	85	73	37	23	31	59	40
GENE_0689	240	187	108	198	167	186	86	185	237	241
GENE_0690	51	35	31	88	71	57	43	65	45	40
GENE_0691	138	113	188	346	213	229	96	268	185	191
GENE_0692	54	41	43	64	54	35	25	59	58	36
GENE_0693	351	223	295	505	241	358	166	285	317	303
GENE_0694	296	96	181	225	162	184	97	187	231	183
GENE_0695	419	162	191	435	244	295	119	321	303	298
GENE_0696	101	84	54	122	84	103	37	111	73	116
GENE_0697	47	26	49	136	46	43	28	43	58	55
GENE_0698	69	54	63	153	56	49	58	79	84	88
GENE_0699	124	78	93	97	74	393	137	353	272	303
GENE_0700	292	152	243	502	233	327	181	428	243	322
GENE_0701	392	177	207	526	225	348	181	323	497	305
GENE_0702	262	176	221	323	164	235	101	220	142	188
GENE_0703	69	28	25	63	32	43	10	57	59	64
GENE_0704	24	15	25	66	18	32	15	43	47	27
GENE_0705	150	71	91	140	99	74	57	141	113	110
GENE_0706	183	68	79	163	80	114	65	115	108	164
GENE_0707	382	183	271	555	306	214	187	363	427	383
GENE_0708	515	285	474	903	476	483	287	350	541	776
GENE_0709	165	165	201	298	116	236	122	201	237	137
GENE_0710	111	49	91	157	91	194	86	153	142	145
GENE_0711	51	19	20	48	28	25	24	27	29	39
GENE_0712	402	213	281	381	242	450	144	257	278	245
GENE_0713	224	119	162	280	166	207	82	215	145	226
GENE_0714	820	506	454	517	600	453	265	702	570	640
GENE_0715	39	24	37	58	23	28	11	47	30	16
GENE_0716	103	52	73	177	56	82	51	93	106	66
GENE_0717	145	70	142	140	103	105	66	168	101	136
GENE_0718	73	23	51	63	52	44	38	50	77	73
GENE_0719	87	35	51	81	38	46	49	69	56	49
GENE_0720	41	22	18	44	30	32	18	28	29	30
GENE_0721	490	352	349	1028	451	495	304	490	490	482
GENE_0722	74	38	40	53	55	51	24	60	77	33
GENE_0723	247	165	265	372	174	184	97	238	210	129
GENE_0724	20	17	14	56	36	22	15	44	30	25
GENE_0725	431	277	302	545	232	374	97	288	359	314
GENE_0726	35	32	36	84	47	83	31	47	46	47
GENE_0727	743	384	518	704	246	493	377	504	663	419
GENE_0728	141	104	142	144	64	109	76	138	191	88
GENE_0729	74	40	115	111	48	86	53	97	94	105
GENE_0730	278	233	267	395	295	271	216	373	280	442
GENE_0731	77	43	46	110	103	61	52	79	47	89
GENE_0732	108	50	66	132	63	57	61	110	98	71
GENE_0733	420	286	386	588	267	329	180	381	434	224
GENE_0734	891	351	437	838	493	399	268	586	600	669
GENE_0735	28	19	23	29	24	25	28	24	33	27
GENE_0736	53	20	24	39	27	31	14	45	31	35
GENE_0737	254	177	174	302	196	211	135	287	144	201
GENE_0738	47	34	34	69	49	50	26	40	51	72
GENE_0739	145	103	129	235	104	132	86	148	84	160
GENE_0740	104	64	63	75	89	90	29	124	51	78
GENE_0741	57	24	34	86	45	46	21	52	60	52
GENE_0742	40	23	27	40	34	35	19	32	34	52
GENE_0743	702	299	436	822	401	481	386	657	340	477
GENE_0744	30	10	13	17	20	17	13	23	18	21
GENE_0745	92	43	51	114	49	79	43	94	91	70
GENE_0746	621	403	711	1035	589	265	239	603	411	477
GENE_0747	68	41	29	98	40	38	13	73	54	60
GENE_0748	325	196	354	581	195	282	206	311	452	251
GENE_0749	56	44	26	84	40	35	24	92	56	56
GENE_0750	214	131	152	399	167	141	99	206	241	187
GENE_0751	25	25	26	62	26	43	13	34	28	29
GENE_0752	137	95	108	189	92	109	52	115	126	131
GENE_0753	136	74	94	203	123	102	81	101	118	151
GENE_0754	381	139	224	442	230	278	238	333	334	393
GENE_0755	118	68	88	112	131	155	51	133	149	121
GENE_0756	499	327	316	553	312	618	325	644	557	509
GENE_0757	109	27	40	83	59	55	19	54	51	67
GENE_0758	125	76	80	215	92	88	70	125	154	161
GENE_0759	244	196	81	235	143	200	144	221	261	276
GENE_0760	40	25	27	85	22	72	39	75	90	74
GENE_0761	72	37	49	52	42	53	27	53	54	38
GENE_0762	15	11	17	43	19	18	14	21	16	31
GENE_0763	56	35	34	56	30	28	28	41	64	62
GENE_0764	753	367	362	686	469	530	264	570	580	520
GENE_0765	40	16	30	47	20	21	21	35	41	30
GENE_0766	64	34	34	65	31	46	24	50	31	41
GENE_0767	122	63	60	165	62	193	78	168	140	111
GENE_0768	197	137	150	374	151	199	227	141	176	277
GENE_0769	278	90	216	264	225	422	217	534	574	339
GENE_0770	85	63	76	77	64	54	24	93	84	70
GENE_0771	73	38	49	85	27	53	26	53	32	53
GENE_0772	24	7	4	22	21	12	10	24	23	18
GENE_0773	103	36	73	104	113	373	133	241	241	319
GENE_0774	132	87	97	220	125	134	76	132	161	116
GENE_0775	269	143	142	254	127	223	137	217	196	268
GENE_0776	1179	423	712	1250	810	279	129	232	366	305
GENE_0777	145	112	83	187	99	151	72	193	138	113
GENE_0778	546	257	295	493	442	494	233	473	681	440
GENE_0779	69	75	70	124	74	105	72	94	94	72
GENE_0780	155	84	80	172	121	90	108	145	101	131
GENE_0781	90	63	49	130	54	83	38	121	101	64
GENE_0782	47	33	32	79	47	58	24	70	53	61
GENE_0783	118	63	54	93	87	61	60	96	96	143
GENE_0784	39	24	25	21	16	21	6	18	18	17
GENE_0785	45	62	82	140	40	60	57	87	80	59
GENE_0786	42	43	41	56	24	71	22	60	59	64
GENE_0787	174	137	134	301	175	167	108	214	176	225
GENE_0788	215	133	205	322	219	155	110	195	140	220
GENE_0789	134	109	107	144	159	100	75	124	141	79
GENE_0790	84	40	31	76	54	37	28	38	64	41
GENE_0791	619	388	279	742	518	705	378	503	805	506
GENE_0792	169	56	102	155	91	82	71	154	134	114
GENE_0793	147	146	215	257	285	175	97	262	263	192
GENE_0794	181	85	139	286	113	180	108	252	187	214
GENE_0795	54	35	31	112	48	60	31	66	50	41
GENE_0796	459	470	275	593	422	589	246	497	593	487
GENE_0797	524	450	410	602	612	441	337	403	850	738
GENE_0798	22	22	20	30	29	27	16	19	16	28
GENE_0799	36	8	22	30	24	22	9	20	33	27
GENE_0800	256	174	290	348	310	379	170	258	336	298
GENE_0801	130	57	100	174	112	130	60	179	206	117
GENE_0802	191	130	178	252	248	200	96	226	177	281
GENE_0803	84	64	57	89	36	70	61	67	102	99
GENE_0804	495	288	488	886	482	419	268	603	467	458
GENE_0805	241	118	134	320	238	170	122	181	165	154
GENE_0806	34	8	21	32	31	20	18	31	26	26
GENE_0807	49	22	29	29	36	24	17	23	11	36
GENE_0808	789	321	326	624	341	624	279	615	503	472
GENE_0809	26	27	33	45	29	32	27	45	41	33
GENE_0810	48	66	38	80	34	54	39	57	51	52
GENE_0811	243	106	164	373	168	223	130	279	225	170
GENE_0812	109	66	75	136	59	95	49	93	100	78
GENE_0813	48	52	27	69	48	40	29	94	68	44
GENE_0814	636	391	409	749	392	407	321	379	572	450
GENE_0815	101	53	62	88	104	78	23	93	83	97
GENE_0816	35	13	17	31	20	25	13	29	17	14
GENE_0817	410	229	232	390	250	345	163	520	323	218
GENE_0818	485	157	218	504	153	370	134	396	366	288
GENE_0819	30	14	20	44	16	21	11	27	24	38
GENE_0820	979	337	751	860	744	244	254	410	491	388
GENE_0821	206	49	99	219	107	117	102	152	139	90
GENE_0822	353	194	294	428	176	343	244	299	329	489
GENE_0823	184	66	90	129	104	97	61	157	160	131
GENE_0824	47	7	24	44	13	32	18	36	25	35
GENE_0825	298	106	168	331	203	152	162	203	227	252
GENE_0826	82	160	79	220	104	162	87	91	92	94
GENE_0827	25	13	26	26	23	25	7	23	18	13
GENE_0828	107	78	68	137	59	76	49	118	67	78
GENE_0829	139	115	70	149	62	99	50	125	91	111
GENE_0830	187	74	127	222	88	103	60	188	172	109
GENE_0831	508	318	430	896	371	756	213	546	516	397
GENE_0832	585	287	333	816	403	356	243	662	697	555
GENE_0833	84	63	59	158	71	88	44	128	90	66
GENE_0834	177	96	99	234	103	129	61	159	124	143
GENE_0835	25	13	10	27	10	26	12	17	43	14
GENE_0836	55	33	44	66	61	53	39	73	60	38
GENE_0837	37	21	28	54	27	37	19	36	44	22
GENE_0838	128	61	72	142	90	68	42	107	114	70
GENE_0839	38	18	10	25	17	20	15	26	18	28
GENE_0840	167	81	119	242	139	118	74	193	81	102
GENE_0841	100	66	57	116	53	85	54	97	49	79
GENE_0842	35	19	17	33	10	25	25	31	21	30
GENE_0843	742	306	437	557	416	755	245	534	738	447
GENE_0844	574	158	471	905	437	419	221	484	746	519
GENE_0845	124	70	67	108	74	92	52	106	96	76
GENE_0846	27	17	7	39	19	21	11	17	26	15
GENE_0847	32	13	12	23	18	25	9	22	20	29
GENE_0848	58	30	39	78	50	48	45	34	48	42
GENE_0849	24	19	16	31	18	23	12	19	8	22
GENE_0850	14	19	20	54	31	25	27	18	33	51
GENE_0851	389	205	167	467	257	307	206	456	330	190
GENE_0852	19	9	20	23	16	24	13	31	9	27
GENE_0853	600	395	408	816	456	377	255	697	609	533
GENE_0854	242	141	190	376	177	171	116	239	213	252
GENE_0855	285	230	249	336	248	393	127	290	620	262
GENE_0856	37	17	28	43	22	17	28	34	25	31
GENE_0857	127	55	61	67	93	76	38	97	103	95
GENE_0858	164	80	119	124	82	163	65	134	165	101
GENE_0859	140	98	79	130	88	93	60	115	73	65
GENE_0860	105	40	70	111	63	79	45	72	93	83
GENE_0861	157	74	136	167	108	82	47	138	123	90
GENE_0862	365	191	261	634	316	397	241	302	343	179
GENE_0863	572	368	441	693	457	542	368	556	717	520
GENE_0864	188	113	153	316	107	265	131	214	258	119
GENE_0865	85	55	88	128	69	64	33	114	110	157
GENE_0866	142	83	126	168	81	145	55	164	96	93
GENE_0867	92	75	145	210	94	93	55	127	111	174
GENE_0868	34	19	29	51	18	36	22	32	41	38
GENE_0869	773	276	552	772	498	352	235	690	462	727
GENE_0870	65	30	58	55	38	20	42	61	58	26
GENE_0871	261	169	222	422	222	293	165	379	427	218
GENE_0872	60	36	43	65	41	69	41	47	47	34
GENE_0873	21	13	26	20	14	21	12	24	16	17
GENE_0874	30	20	28	28	13	66	63	57	56	86
GENE_0875	354	270	207	349	284	314	160	326	326	374
GENE_0876	713	340	432	890	535	402	272	525	488	383
GENE_0877	125	96	72	114	120	65	46	88	85	67
GENE_0878	113	87	69	102	89	84	73	129	188	211
GENE_0879	106	70	120	126	134	132	58	132	137	117
GENE_0880	70	35	48	75	40	52	23	56	60	44
GENE_0881	336	267	336	336	360	308	204	295	262	354
GENE_0882	326	248	205	455	304	294	156	337	369	192
GENE_0883	132	75	134	136	137	90	65	163	135	110
GENE_0884	49	20	72	80	55	64	35	32	43	47
GENE_0885	64	44	56	86	61	44	29	44	66	38
GENE_0886	53	39	50	52	33	60	33	42	54	44
GENE_0887	241	123	172	230	223	241	162	223	173	202
GENE_0888	537	324	446	525	543	491	270	498	764	438
GENE_0889	484	488	462	630	413	315	355	495	559	577
GENE_0890	147	65	65	144	124	150	99	99	116	92
GENE_0891	78	64	66	148	100	43	70	129	87	60
GENE_0892	79	33	63	95	68	60	46	96	74	113
GENE_0893	519	344	443	916	280	606	268	542	769	487
GENE_0894	55	33	38	84	38	49	30	74	51	51
GENE_0895	168	126	142	299	145	214	108	330	191	173
GENE_0896	34	13	18	39	18	23	27	24	36	23
GENE_0897	70	72	70	131	62	43	57	83	67	89
GENE_0898	24	11	14	23	18	10	15	20	20	22
GENE_0899	54	24	46	67	50	29	44	48	63	44
GENE_0900	179	103	178	309	219	155	110	339	178	285
GENE_0901	83	53	65	98	82	124	49	115	94	90
GENE_0902	215	121	200	230	182	185	145	259	216	193
GENE_0903	139	69	62	160	84	129	74	146	166	202
GENE_0904	108	43	81	148	71	54	32	96	85	64
GENE_0905	93	27	48	92	49	54	31	78	75	34
GENE_0906	292	205	198	413	206	328	207	331	330	299
GENE_0907	45	18	27	41	43	21	20	45	34	17
GENE_0908	91	37	113	82	56	68	42	88	102	55
GENE_0909	142	114	163	406	155	152	118	195	278	153
GENE_0910	18	10	20	29	17	17	11	23	28	18
GENE_0911	141	125	100	140	83	129	57	124	139	139
GENE_0912	63	54	69	109	66	68	41	107	80	76
GENE_0913	1839	617	798	1497	1184	226	179	345	216	231
GENE_0914	204	115	147	225	158	120	112	253	177	193
GENE_0915	347	190	338	493	227	229	181	477	397	268
GENE_0916	90	58	72	162	57	93	38	125	70	84
GENE_0917	103	49	66	91	81	64	62	94	105	76
GENE_0918	683	363	439	638	592	163	130	352	327	257
GENE_0919	30	19	32	46	33	22	14	32	34	27
GENE_0920	120	64	79	114	43	62	41	67	74	103
GENE_0921	861	767	704	1170	791	372	200	515	550	304
GENE_0922	84	93	77	185	137	109	92	101	120	122
GENE_0923	142	93	85	184	94	89	96	125	127	120
GENE_0924	39	42	27	82	62	34	35	52	62	53
GENE_0925	541	351	515	672	350	432	348	425	512	456
GENE_0926	82	42	40	80	58	171	99	151	235	107
GENE_0927	38	28	35	42	35	39	13	39	25	30
GENE_0928	37	29	35	39	31	29	16	42	43	21
GENE_0929	121	62	128	165	116	130	73	149	199	142
GENE_0930	162	85	90	144	85	124	70	128	133	91
GENE_0931	53	30	34	76	38	44	36	55	42	31
GENE_0932	82	63	111	195	84	107	42	139	164	108
GENE_0933	467	308	530	599	473	494	303	482	611	642
GENE_0934	51	22	21	33	41	19	8	29	46	20
GENE_0935	257	103	118	193	180	98	72	133	97	110
GENE_0936	451	329	582	593	642	393	277	631	517	574
GENE_0937	27	17	13	31	22	9	7	29	17	15
GENE_0938	25	22	15	35	21	13	12	38	23	20
GENE_0939	79	44	46	99	33	42	49	58	44	38
GENE_0940	110	49	71	149	112	104	43	91	93	80
GENE_0941	69	39	83	133	114	40	56	87	85	51
GENE_0942	153	97	152	106	126	152	72	150	118	104
GENE_0943	138	107	45	157	120	195	180	311	317	245
GENE_0944	32	21	19	48	21	14	11	20	14	15
GENE_0945	75	89	129	128	105	120	70	159	167	133
GENE_0946	423	247	248	420	382	314	173	380	336	215
GENE_0947	51	27	49	86	50	32	18	62	40	64
GENE_0948	67	35	29	68	64	105	50	66	80	84
GENE_0949	19	14	16	38	21	11	10	12	24	27
GENE_0950	320	239	315	331	323	306	134	357	580	275
GENE_0951	444	395	403	869	450	451	304	628	591	380
GENE_0952	55	33	59	101	70	42	37	57	62	32
GENE_0953	48	16	45	26	39	48	16	19	25	18
GENE_0954	32	14	17	52	35	20	16	31	36	25
GENE_0955	44	32	31	47	31	42	25	48	47	21
GENE_0956	131	94	67	225	144	57	85	124	101	104
GENE_0957	21	16	22	45	15	20	18	46	37	21
GENE_0958	559	404	530	846	467	520	299	372	484	567
GENE_0959	67	31	53	74	44	86	36	37	32	64
GENE_0960	96	55	64	181	63	98	37	121	86	75
GENE_0961	19	13	22	23	18	15	13	20	18	13
GENE_0962	598	293	383	565	373	129	46	129	121	140
GENE_0963	43	25	23	33	16	41	34	50	42	29
GENE_0964	480	258	326	648	360	659	277	537	752	695
GENE_0965	275	145	131	416	108	221	174	255	212	150
GENE_0966	249	192	392	450	283	234	141	404	505	275
GENE_0967	379	227	208	427	185	283	110	388	344	383
GENE_0968	82	95	105	132	105	96	64	137	101	137
GENE_0969	16	16	9	20	15	14	13	21	27	11
GENE_0970	268	124	201	341	169	227	90	239	363	211
GENE_0971	24	13	21	29	19	19	13	17	16	16
GENE_0972	519	320	337	655	456	528	267	491	513	606
GENE_0973	152	119	123	184	68	171	68	116	137	130
GENE_0974	192	129	142	247	168	135	105	237	226	202
GENE_0975	989	540	457	833	612	145	74	186	272	163
GENE_0976	268	253	243	461	339	238	259	381	291	397
GENE_0977	597	294	417	946	383	652	291	533	439	377
GENE_0978	36	35	27	42	20	23	12	52	16	30
GENE_0979	46	31	28	83	36	38	42	69	56	79
GENE_0980	91	67	75	222	67	61	50	71	92	61
GENE_0981	292	144	150	287	115	153	104	204	186	259
GENE_0982	536	307	478	756	613	545	333	914	681	513
GENE_0983	207	86	150	143	127	151	57	96	180	141
GENE_0984	211	157	148	435	170	123	72	294	210	222
GENE_0985	16	6	14	42	14	15	14	13	22	32
GENE_0986	165	106	155	175	106	65	77	70	66	57
GENE_0987	308	210	230	374	172	324	168	305	389	271
GENE_0988	31	24	41	44	15	32	17	32	38	26
GENE_0989	130	78	127	151	117	118	46	164	154	124
GENE_0990	134	90	86	219	128	123	99	153	213	103
GENE_0991	178	106	136	206	111	196	63	167	151	99
GENE_0992	13	4	14	20	16	15	8	30	25	30
GENE_0993	171	130	164	227	183	171	126	216	179	264
GENE_0994	154	107	147	193	135	131	52	95	165	134
GENE_0995	331	211	231	493	246	334	228	374	384	335
GENE_0996	30	19	21	69	31	26	18	33	35	50
GENE_0997	26	24	21	44	22	34	18	22	30	29
GENE_0998	453	365	494	724	500	521	332	839	658	579
GENE_0999	19	29	15	15	25	25	13	13	30	24
GENE_1000	75	48	62	80	53	92	58	111	100	109
